"","iso2c","country","year","status","Mortality_rate_neonatal","Maternal_mortality_ratio","Mortality_rate_infant","Mortality_rate_infant_male","Mortality_rate_infant_female","iso3c","region","capital","longitude","latitude","income","lending"
"24","1W","World",2001,"",29.5,335,51.1,53.9,48.1,"WLD","Aggregates","","","","Aggregates","Aggregates"
"25","1W","World",2002,"",28.6,328,49.3,52,46.4,"WLD","Aggregates","","","","Aggregates","Aggregates"
"26","1W","World",2003,"",27.7,319,47.6,50.1,44.8,"WLD","Aggregates","","","","Aggregates","Aggregates"
"27","1W","World",2000,"",30.4,342,52.8,55.7,49.7,"WLD","Aggregates","","","","Aggregates","Aggregates"
"28","1W","World",2005,"",25.9,296,44.2,46.6,41.5,"WLD","Aggregates","","","","Aggregates","Aggregates"
"29","1W","World",2010,"",22.1,248,36.9,39.1,34.5,"WLD","Aggregates","","","","Aggregates","Aggregates"
"30","1W","World",2011,"",21.5,241,35.5,37.7,33.2,"WLD","Aggregates","","","","Aggregates","Aggregates"
"31","1W","World",2004,"",26.8,309,45.9,48.5,43.1,"WLD","Aggregates","","","","Aggregates","Aggregates"
"32","1W","World",2009,"",22.8,257,38.1,40.4,35.7,"WLD","Aggregates","","","","Aggregates","Aggregates"
"33","1W","World",2017,"",18.3,211,29.7,31.7,27.4,"WLD","Aggregates","","","","Aggregates","Aggregates"
"34","1W","World",2018,"",17.9,NA,28.9,30.9,26.7,"WLD","Aggregates","","","","Aggregates","Aggregates"
"35","1W","World",2008,"",23.6,265,39.6,41.9,37.1,"WLD","Aggregates","","","","Aggregates","Aggregates"
"36","1W","World",2016,"",18.8,214,30.6,32.6,28.3,"WLD","Aggregates","","","","Aggregates","Aggregates"
"37","1W","World",2012,"",20.9,234,34.4,36.5,32.1,"WLD","Aggregates","","","","Aggregates","Aggregates"
"38","1W","World",2013,"",20.3,229,33.3,35.5,31,"WLD","Aggregates","","","","Aggregates","Aggregates"
"39","1W","World",2019,"",17.4,NA,28.1,30.2,25.9,"WLD","Aggregates","","","","Aggregates","Aggregates"
"40","1W","World",2020,"",17,NA,27.4,29.5,25.2,"WLD","Aggregates","","","","Aggregates","Aggregates"
"41","1W","World",2014,"",19.8,224,32.3,34.4,30,"WLD","Aggregates","","","","Aggregates","Aggregates"
"42","1W","World",2015,"",19.3,219,31.4,33.5,29.1,"WLD","Aggregates","","","","Aggregates","Aggregates"
"43","4E","East Asia & Pacific (excluding high income)",2015,"",8.89862015836316,77,14.3080537570059,15.6222518577124,12.882937977565,"EAP","Aggregates","","","","Aggregates","Aggregates"
"44","4E","East Asia & Pacific (excluding high income)",2016,"",8.4981502370707,75,13.6452857825493,14.9252090259872,12.2873882502609,"EAP","Aggregates","","","","Aggregates","Aggregates"
"45","4E","East Asia & Pacific (excluding high income)",2000,"",21.4024315233915,121,33.1684658729801,35.7450537764211,30.5001694329052,"EAP","Aggregates","","","","Aggregates","Aggregates"
"46","4E","East Asia & Pacific (excluding high income)",2001,"",20.2667234192186,118,31.3871622065706,33.8683406824994,28.7643257702749,"EAP","Aggregates","","","","Aggregates","Aggregates"
"47","4E","East Asia & Pacific (excluding high income)",2002,"",19.1188799581859,115,29.5617349454221,31.9378022059382,27.0542414427901,"EAP","Aggregates","","","","Aggregates","Aggregates"
"48","4E","East Asia & Pacific (excluding high income)",2003,"",18.0222524549828,112,27.7795399996122,30.1039759683623,25.413786579847,"EAP","Aggregates","","","","Aggregates","Aggregates"
"49","4E","East Asia & Pacific (excluding high income)",2004,"",16.8940697953064,110,26.4871002296155,28.6444499563413,24.1780141567549,"EAP","Aggregates","","","","Aggregates","Aggregates"
"50","4E","East Asia & Pacific (excluding high income)",2005,"",15.8556688671496,106,24.5003971832025,26.6296858037434,22.3026227091717,"EAP","Aggregates","","","","Aggregates","Aggregates"
"51","4E","East Asia & Pacific (excluding high income)",2006,"",14.8602263330258,103,23.0850161184021,25.0563030989861,20.9790971012212,"EAP","Aggregates","","","","Aggregates","Aggregates"
"52","4E","East Asia & Pacific (excluding high income)",2007,"",13.989352258835,100,21.792784430876,23.6579579706471,19.7829310002615,"EAP","Aggregates","","","","Aggregates","Aggregates"
"53","4E","East Asia & Pacific (excluding high income)",2012,"",10.4604415556958,85,16.5634869601527,18.0784918526513,14.9994070671658,"EAP","Aggregates","","","","Aggregates","Aggregates"
"54","4E","East Asia & Pacific (excluding high income)",2013,"",9.89565754823364,82,15.773379804417,17.1918665298596,14.223251108087,"EAP","Aggregates","","","","Aggregates","Aggregates"
"55","4E","East Asia & Pacific (excluding high income)",2014,"",9.36703522565811,79,15.0017202096808,16.402906686332,13.5449124559329,"EAP","Aggregates","","","","Aggregates","Aggregates"
"56","4E","East Asia & Pacific (excluding high income)",2019,"",7.37793350546925,NA,11.9948601942666,13.1685231610234,10.8289744173968,"EAP","Aggregates","","","","Aggregates","Aggregates"
"57","4E","East Asia & Pacific (excluding high income)",2020,"",7.12987209111213,NA,11.5513498559687,12.6583915172641,10.3642582580716,"EAP","Aggregates","","","","Aggregates","Aggregates"
"58","4E","East Asia & Pacific (excluding high income)",2017,"",8.11376879552752,73,13.0551593630755,14.2517675746694,11.7807031946039,"EAP","Aggregates","","","","Aggregates","Aggregates"
"59","4E","East Asia & Pacific (excluding high income)",2018,"",7.7401549770114,NA,12.4727645379561,13.6659920852095,11.2995563000097,"EAP","Aggregates","","","","Aggregates","Aggregates"
"60","4E","East Asia & Pacific (excluding high income)",2010,"",11.7117604697766,91,18.4180070328227,20.059945574598,16.716886368139,"EAP","Aggregates","","","","Aggregates","Aggregates"
"61","4E","East Asia & Pacific (excluding high income)",2011,"",11.0196222291415,88,17.4538824314836,19.0589472189135,15.7956157549264,"EAP","Aggregates","","","","Aggregates","Aggregates"
"62","4E","East Asia & Pacific (excluding high income)",2008,"",13.1910149471064,98,20.9343929288163,22.7620639973546,19.0491798046829,"EAP","Aggregates","","","","Aggregates","Aggregates"
"63","4E","East Asia & Pacific (excluding high income)",2009,"",12.3758646625703,94,19.4517194262002,21.1825632926266,17.6574223674677,"EAP","Aggregates","","","","Aggregates","Aggregates"
"64","7E","Europe & Central Asia (excluding high income)",2007,"",11.2077337552392,31,18.5109390349131,20.4563605963421,16.4125041606471,"ECA","Aggregates","","","","Aggregates","Aggregates"
"65","7E","Europe & Central Asia (excluding high income)",2008,"",10.4484029807483,29,17.3818760287516,19.2110450908062,15.4089307367673,"ECA","Aggregates","","","","Aggregates","Aggregates"
"66","7E","Europe & Central Asia (excluding high income)",2004,"",13.3523908862191,38,22.5575385407806,24.9253625717344,20.0495506474522,"ECA","Aggregates","","","","Aggregates","Aggregates"
"67","7E","Europe & Central Asia (excluding high income)",2005,"",12.6172587836607,36,21.0849942429328,23.3216305542656,18.7403439066936,"ECA","Aggregates","","","","Aggregates","Aggregates"
"68","7E","Europe & Central Asia (excluding high income)",2006,"",11.930064226492,33,19.7342045311358,21.8272683040102,17.522641674497,"ECA","Aggregates","","","","Aggregates","Aggregates"
"69","7E","Europe & Central Asia (excluding high income)",2019,"",5.77453478398266,NA,9.67376754163761,10.7341284817841,8.5731204510456,"ECA","Aggregates","","","","Aggregates","Aggregates"
"70","7E","Europe & Central Asia (excluding high income)",2020,"",5.4957461374368,NA,9.25639236818266,10.2438937161125,8.20183565086558,"ECA","Aggregates","","","","Aggregates","Aggregates"
"71","7E","Europe & Central Asia (excluding high income)",2009,"",9.80857877981949,27,16.3574731242654,18.1178503710166,14.5395659340864,"ECA","Aggregates","","","","Aggregates","Aggregates"
"72","7E","Europe & Central Asia (excluding high income)",2010,"",9.2774663771502,26,15.4729319131677,17.1615190098324,13.760684964187,"ECA","Aggregates","","","","Aggregates","Aggregates"
"73","7E","Europe & Central Asia (excluding high income)",2011,"",8.80124231429813,24,14.6713486814091,16.2357469498813,13.030884071286,"ECA","Aggregates","","","","Aggregates","Aggregates"
"74","7E","Europe & Central Asia (excluding high income)",2012,"",8.33487689188834,23,13.9578625659963,15.435267665932,12.3586683060949,"ECA","Aggregates","","","","Aggregates","Aggregates"
"75","7E","Europe & Central Asia (excluding high income)",2000,"",16.6352797415806,45,29.1799824738454,32.1775377733438,26.0430991487296,"ECA","Aggregates","","","","Aggregates","Aggregates"
"76","7E","Europe & Central Asia (excluding high income)",2001,"",15.8325289686479,44,27.4682277393995,30.3024744274172,24.4755322075271,"ECA","Aggregates","","","","Aggregates","Aggregates"
"77","7E","Europe & Central Asia (excluding high income)",2002,"",14.94719878981,42,25.7467821830585,28.4402493428507,22.9444650680348,"ECA","Aggregates","","","","Aggregates","Aggregates"
"78","7E","Europe & Central Asia (excluding high income)",2003,"",14.0973684585097,40,24.1221271834226,26.6541807635439,21.4847001998219,"ECA","Aggregates","","","","Aggregates","Aggregates"
"79","7E","Europe & Central Asia (excluding high income)",2016,"",6.64627966741033,20,11.2579986686731,12.44950225317,9.9600843335095,"ECA","Aggregates","","","","Aggregates","Aggregates"
"80","7E","Europe & Central Asia (excluding high income)",2017,"",6.35432742586007,19,10.6361653840764,11.796449884247,9.47758197968093,"ECA","Aggregates","","","","Aggregates","Aggregates"
"81","7E","Europe & Central Asia (excluding high income)",2018,"",6.03179210567326,NA,10.1514451099396,11.2308350578403,9.01176337249318,"ECA","Aggregates","","","","Aggregates","Aggregates"
"82","7E","Europe & Central Asia (excluding high income)",2013,"",7.90887795658552,22,13.238963464197,14.654325999159,11.7239572176654,"ECA","Aggregates","","","","Aggregates","Aggregates"
"83","7E","Europe & Central Asia (excluding high income)",2014,"",7.47731702762087,21,12.5538595622688,13.883005281955,11.1087847649487,"ECA","Aggregates","","","","Aggregates","Aggregates"
"84","7E","Europe & Central Asia (excluding high income)",2015,"",7.0528590990609,20,11.8559611219133,13.140688012349,10.5279068975515,"ECA","Aggregates","","","","Aggregates","Aggregates"
"85","8S","South Asia",2001,"",44.8,379,66.3,67.3,65.3,"SAS","Aggregates","","","","Aggregates","Aggregates"
"86","8S","South Asia",2013,"",31.2,199,42.8,43.7,41.9,"SAS","Aggregates","","","","Aggregates","Aggregates"
"87","8S","South Asia",2014,"",30.1,190,41.1,42,40,"SAS","Aggregates","","","","Aggregates","Aggregates"
"88","8S","South Asia",2000,"",46.2,395,68.6,69.8,67.3,"SAS","Aggregates","","","","Aggregates","Aggregates"
"89","8S","South Asia",2005,"",39.7,309,58,58.6,57.2,"SAS","Aggregates","","","","Aggregates","Aggregates"
"90","8S","South Asia",2002,"",43.5,361,64.1,64.8,63.3,"SAS","Aggregates","","","","Aggregates","Aggregates"
"91","8S","South Asia",2003,"",42.2,344,62,62.6,61.4,"SAS","Aggregates","","","","Aggregates","Aggregates"
"92","8S","South Asia",2004,"",40.9,327,60,60.9,59.1,"SAS","Aggregates","","","","Aggregates","Aggregates"
"93","8S","South Asia",2009,"",35.5,249,50.3,51.1,49.5,"SAS","Aggregates","","","","Aggregates","Aggregates"
"94","8S","South Asia",2010,"",34.4,235,48.4,49,47.6,"SAS","Aggregates","","","","Aggregates","Aggregates"
"95","8S","South Asia",2011,"",33.4,222,46.5,47.2,45.7,"SAS","Aggregates","","","","Aggregates","Aggregates"
"96","8S","South Asia",2012,"",32.3,210,44.6,45.4,43.7,"SAS","Aggregates","","","","Aggregates","Aggregates"
"97","8S","South Asia",2018,"",26,NA,34.5,35.7,33.3,"SAS","Aggregates","","","","Aggregates","Aggregates"
"98","8S","South Asia",2015,"",29.1,179,39.3,40.3,38.2,"SAS","Aggregates","","","","Aggregates","Aggregates"
"99","8S","South Asia",2016,"",28.1,169,37.7,38.7,36.5,"SAS","Aggregates","","","","Aggregates","Aggregates"
"100","8S","South Asia",2017,"",27,163,36.1,37.2,34.9,"SAS","Aggregates","","","","Aggregates","Aggregates"
"101","8S","South Asia",2008,"",36.5,263,52.2,52.9,51.4,"SAS","Aggregates","","","","Aggregates","Aggregates"
"102","8S","South Asia",2019,"",24.9,NA,33.1,34.3,31.8,"SAS","Aggregates","","","","Aggregates","Aggregates"
"103","8S","South Asia",2006,"",38.6,293,56,56.8,55.2,"SAS","Aggregates","","","","Aggregates","Aggregates"
"104","8S","South Asia",2007,"",37.6,278,54.1,54.8,53.4,"SAS","Aggregates","","","","Aggregates","Aggregates"
"105","8S","South Asia",2020,"",23.9,NA,31.8,33,30.5,"SAS","Aggregates","","","","Aggregates","Aggregates"
"106","AD","Andorra",2006,"",2.7,NA,5.3,5.8,4.7,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"107","AD","Andorra",2002,"",3.3,NA,6.5,7.2,5.8,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"108","AD","Andorra",2003,"",3.2,NA,6.2,6.9,5.5,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"109","AD","Andorra",2005,"",2.9,NA,5.6,6.2,4.9,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"110","AD","Andorra",2019,"",1.4,NA,2.5,2.7,2.2,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"111","AD","Andorra",2007,"",2.6,NA,5,5.5,4.4,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"112","AD","Andorra",2004,"",3,NA,5.9,6.5,5.2,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"113","AD","Andorra",2009,"",2.3,NA,4.4,4.8,3.9,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"114","AD","Andorra",2010,"",2.2,NA,4.1,4.6,3.7,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"115","AD","Andorra",2011,"",2.1,NA,3.9,4.3,3.5,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"116","AD","Andorra",2008,"",2.5,NA,4.7,5.2,4.2,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"117","AD","Andorra",2000,"",3.8,NA,7.3,8.1,6.4,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"118","AD","Andorra",2001,"",3.6,NA,6.9,7.7,6.1,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"119","AD","Andorra",2015,"",1.7,NA,3.1,3.4,2.8,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"120","AD","Andorra",2016,"",1.6,NA,2.9,3.2,2.6,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"121","AD","Andorra",2017,"",1.5,NA,2.8,3.1,2.5,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"122","AD","Andorra",2018,"",1.4,NA,2.6,2.9,2.4,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"123","AD","Andorra",2013,"",1.9,NA,3.5,3.8,3.1,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"124","AD","Andorra",2020,"",1.3,NA,2.4,2.6,2.1,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"125","AD","Andorra",2012,"",2,NA,3.7,4.1,3.3,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"126","AD","Andorra",2014,"",1.8,NA,3.3,3.6,2.9,"AND","Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified"
"127","AE","United Arab Emirates",2000,"",5.9,6,9.6,10.7,8.4,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"128","AE","United Arab Emirates",2012,"",4.4,4,7,7.8,6.2,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"129","AE","United Arab Emirates",2004,"",5.3,5,8.6,9.6,7.6,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"130","AE","United Arab Emirates",2001,"",5.7,6,9.3,10.4,8.2,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"131","AE","United Arab Emirates",2002,"",5.6,5,9.1,10.1,8,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"132","AE","United Arab Emirates",2003,"",5.5,5,8.9,9.9,7.8,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"133","AE","United Arab Emirates",2008,"",4.9,4,7.9,8.7,6.9,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"134","AE","United Arab Emirates",2009,"",4.8,4,7.6,8.5,6.7,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"135","AE","United Arab Emirates",2010,"",4.6,4,7.4,8.2,6.6,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"136","AE","United Arab Emirates",2011,"",4.5,4,7.2,8,6.4,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"137","AE","United Arab Emirates",2015,"",4.1,3,6.5,7.2,5.8,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"138","AE","United Arab Emirates",2016,"",4,3,6.3,7,5.7,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"139","AE","United Arab Emirates",2013,"",4.3,3,6.8,7.6,6.1,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"140","AE","United Arab Emirates",2014,"",4.2,3,6.7,7.4,5.9,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"141","AE","United Arab Emirates",2007,"",5,4,8.1,9,7.1,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"142","AE","United Arab Emirates",2020,"",3.6,NA,5.6,6.2,5,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"143","AE","United Arab Emirates",2005,"",5.2,5,8.4,9.4,7.4,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"144","AE","United Arab Emirates",2006,"",5.1,4,8.2,9.2,7.3,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"145","AE","United Arab Emirates",2018,"",3.8,NA,6,6.6,5.3,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"146","AE","United Arab Emirates",2019,"",3.7,NA,5.8,6.4,5.2,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"147","AE","United Arab Emirates",2017,"",3.9,3,6.2,6.8,5.5,"ARE","Middle East & North Africa","Abu Dhabi","54.3705","24.4764","High income","Not classified"
"148","AF","Afghanistan",2000,"",60.9,1450,90.5,95.6,85,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"149","AF","Afghanistan",2003,"",57.2,1240,82.7,87.3,77.8,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"150","AF","Afghanistan",2004,"",55.9,1180,80,84.6,75.3,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"151","AF","Afghanistan",2018,"",37.2,NA,47.9,51.1,44.5,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"152","AF","Afghanistan",2001,"",59.7,1390,87.9,92.9,82.7,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"153","AF","Afghanistan",2002,"",58.5,1300,85.3,90.1,80.4,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"154","AF","Afghanistan",2017,"",38.2,638,49.5,52.8,46.1,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"155","AF","Afghanistan",2008,"",50.3,1030,69.2,73.3,65,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"156","AF","Afghanistan",2005,"",54.6,1140,77.3,81.7,72.7,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"157","AF","Afghanistan",2006,"",53.2,1120,74.6,78.9,70.1,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"158","AF","Afghanistan",2007,"",51.7,1090,71.9,76.1,67.5,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"159","AF","Afghanistan",2013,"",43.2,810,57.3,60.8,53.6,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"160","AF","Afghanistan",2014,"",41.9,786,55.2,58.6,51.6,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"161","AF","Afghanistan",2015,"",40.5,701,53.2,56.5,49.6,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"162","AF","Afghanistan",2016,"",39.3,673,51.3,54.6,47.7,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"163","AF","Afghanistan",2010,"",47.4,954,64.2,67.9,60.3,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"164","AF","Afghanistan",2011,"",46,905,61.8,65.4,57.9,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"165","AF","Afghanistan",2019,"",36.1,NA,46.4,49.6,42.9,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"166","AF","Afghanistan",2020,"",35.2,NA,45,48.1,41.5,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"167","AF","Afghanistan",2012,"",44.6,858,59.5,63,55.7,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"168","AF","Afghanistan",2009,"",48.9,993,66.7,70.6,62.6,"AFG","South Asia","Kabul","69.1761","34.5228","Low income","IDA"
"169","AG","Antigua and Barbuda",2010,"",5.8,44,8.3,9,7.6,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"170","AG","Antigua and Barbuda",2011,"",5.4,43,7.9,8.5,7.2,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"171","AG","Antigua and Barbuda",2000,"",9.7,44,12.6,13.7,11.3,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"172","AG","Antigua and Barbuda",2001,"",9.5,44,12.3,13.4,11.1,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"173","AG","Antigua and Barbuda",2002,"",9.3,43,11.9,13,10.8,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"174","AG","Antigua and Barbuda",2007,"",7.3,48,9.6,10.5,8.8,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"175","AG","Antigua and Barbuda",2008,"",6.8,50,9.2,10,8.4,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"176","AG","Antigua and Barbuda",2009,"",6.3,45,8.7,9.5,8,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"177","AG","Antigua and Barbuda",2014,"",4.5,42,6.8,7.3,6.2,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"178","AG","Antigua and Barbuda",2015,"",4.2,43,6.5,7,6,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"179","AG","Antigua and Barbuda",2012,"",5.1,44,7.5,8.1,6.8,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"180","AG","Antigua and Barbuda",2013,"",4.7,43,7.1,7.7,6.5,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"181","AG","Antigua and Barbuda",2005,"",8.2,40,10.6,11.5,9.6,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"182","AG","Antigua and Barbuda",2006,"",7.7,46,10.1,11,9.2,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
"183","AG","Antigua and Barbuda",2003,"",8.9,44,11.5,12.5,10.4,"ATG","Latin America & Caribbean","Saint John's","-61.8456","17.1175","High income","IBRD"
